"EmployerName","Address","CompanyNumber","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","CompanyLinkToGPGInfo","ResponsiblePerson","EmployerSize","CurrentName","SubmittedAfterTheDeadline","DueDate","DateSubmitted"
"NETWORK RAIL INFRASTRUCTURE LIMITED","1 Eversholt Street, London, NW1 2DN","02904587","41100,
49100,
49200,
68100","9.4","12.2","	-12.3","	-12.8","99.6","99.3","72.5","27.5","83.2","16.8","85.1","14.9","86.2","13.8","https://www.networkrail.co.uk/who-we-are/diversity-and-inclusion/gender-pay-gap-report/","Ian Turner (Head of Reward & Benefits)","20,000 or more","NETWORK RAIL INFRASTRUCTURE LIMITED","False","06/10/2021 00:00:00","01/02/2021 08:46:46"
"NEW BALANCE ATHLETIC SHOES (U.K.) LIMITED","Appleton House 430 Birchwood Boulevard, Birchwood, Warrington, Cheshire, WA3 7WD","01616165","15200,
47721","20","0","49","9","82","82","44","56","45","55","42","58","64","36","","Fran Allen (Senior Vice President, EMEA)","500 to 999","NEW BALANCE ATHLETIC SHOES (U.K.) LIMITED","False","06/10/2021 00:00:00","26/02/2021 09:48:31"
"New College Durham","Framwellgate Morr Campus, Framwellgate Moor, Durham, County Durham, United Kingdom, DH1 5ES","","1,
85320","15.0","26.0","","","0.0","0.0","26.7","73.3","25.0","75.0","44.1","55.9","45.0","55.0","https://www.newcollegedurham.ac.uk/the-college/equality-diversity-inclusion/","","500 to 999","New College Durham","False","06/10/2021 00:00:00","08/12/2020 09:46:09"
"New College Stamford","Drift Road, Stamford, Lincolnshire, United Kingdom, PE9 1XA","","1,
85320","9.8","33.1","","","0.0","0.0","23.9","76.1","18.3","81.7","31.0","69.0","46.5","53.5","https://www.stamford.ac.uk/about/policies-and-procedures","","250 to 499","New College Stamford","False","06/10/2021 00:00:00","28/08/2020 12:02:49"
"NEW VISION TRUST","Elmhurst Primary School Upton Park Road, Forest Gate, London, United Kingdom, E7 8JY","11086415","85100,
85200","24.2","47.5","","","0.0","0.0","2.6","97.4","1.8","98.2","16.7","83.3","13.2","86.8","https://newvisiontrust.co.uk/","","250 to 499","NEW VISION TRUST","False","06/10/2021 00:00:00","04/03/2021 14:00:55"
"NEWAY INTERNATIONAL LIMITED","Crescent House, Angel Hill, Bury St Edmunds, Suffolk, IP33 1UZ","04843833","82990","	-7.1","	-4.5","31.5","33.3","3.4","14.1","89.1","10.9","70.3","29.7","50.0","50.0","59.2","40.8","","Jacob Marrs (Managing Director)","Less than 250","NEWAY INTERNATIONAL LIMITED","False","06/10/2021 00:00:00","16/02/2021 11:35:32"
"Newcastle City Council","Civic Centre, Newcastle Upon Tyne, Tyne And Wear, United Kingdom, NE1 8QH","","1,
84110","2.9","5.8","","","0.0","0.0","30.2","69.8","48.9","51.1","49.9","50.1","43.1","56.9","","","5000 to 19,999","Newcastle City Council","False","06/10/2021 00:00:00","02/10/2020 12:46:11"
"NEWPORT NORSE LIMITED","280 Fifers Lane, Norwich, Norfolk, United Kingdom, NR6 6EQ","08915343","96090","23.3","19.7","49.2","44.4","4.5","0.3","27.4","72.6","28.8","71.2","45.2","54.8","76.7","23.3","https://norsegroup.co.uk/wp-content/uploads/2021/03/NG-Gender-Pay-Gap-Report-08.03.21-6045f54eceba6.pdf","Katie Marri (Group HR Director)","250 to 499","NEWPORT NORSE LIMITED","False","06/10/2021 00:00:00","10/03/2021 11:15:54"
"NEWPORT WAFER FAB LIMITED","Cardiff Road, Newport, NP10 8YJ","04338966","26110","25.4","10.6","1.4","0.0","14.4","19.8","56.1","43.9","68.3","31.7","69.1","30.9","95.1","4.9","http://www.newportwaferfab.co.uk/ckfinder/userfiles/files/newport%20wafer%20fab%20gender%20pay%20gap%20report%20for%20april%202020.pdf","Simon Argent (HR Director)","250 to 499","NEWPORT WAFER FAB LIMITED","False","06/10/2021 00:00:00","08/03/2021 10:19:17"
"NEWSQUEST MEDIA GROUP LIMITED","Loudwater Mill, Station Road, High Wycombe, Buckinghamshire, HP10 9TY","01676637","58130","0.3","	-4.9","23.5","	-3.7","15.0","21.8","67.6","32.4","58.2","41.8","45.5","54.5","55.4","44.6","https://https://www.newsquest.co.uk/gender-pay-gap-reporting","Tracey Olaleye (Group HR Director)","1000 to 4999","NEWSQUEST MEDIA GROUP LIMITED","False","06/10/2021 00:00:00","28/01/2021 15:33:32"
"Newvic College","Prince Regent Lane, London, London, United Kingdom, E13 8SG","","1,
85310","4.0","18.0","","","0.0","0.0","41.0","59.0","31.0","69.0","38.0","62.0","47.0","53.0","","","250 to 499","Newvic College","False","06/10/2021 00:00:00","26/02/2021 11:40:46"
"Nexus","Nexus House, St James Boulevard, Newcastle upon Tyne, NE1 4AX","","1","14.0","18.5","13.0","	-28.3","5.8","8.7","56.5","43.5","81.5","18.5","86.3","13.7","82.7","17.3","","","1000 to 4999","Nexus","False","06/10/2021 00:00:00","23/02/2021 11:02:41"
"NEXUS MULTI ACADEMY TRUST","Hilltop School Larch Road, Maltby, Rotherham, South Yorkshire, S66 8AZ","10075893","85590","20.6","19.6","","","0.0","0.0","12.0","88.0","9.0","91.0","11.0","89.0","27.0","73.0","https://www.nexusmat.org/about/gender-pay-gap","","500 to 999","NEXUS MULTI ACADEMY TRUST","False","06/10/2021 00:00:00","09/03/2021 09:42:50"
"NHS Digital","1 Trevelyan Square, Leeds, LS1 6AE","","1,
84110","10.5","13.9","9.1","	-1.1","0.3","0.2","44.5","55.5","51.4","48.6","60.4","39.6","65.6","34.4","https://digital.nhs.uk/about-nhs-digital/corporate-information-and-documents/how-we-support-diversity-and-inclusion/annual-inclusion-report-2019-20/a-look-at-the-diversity-of-our-workforce","","1000 to 4999","NHS Digital","False","06/10/2021 00:00:00","24/02/2021 09:16:26"
"Nhs Dorset Clinical Commissioning Group","Canford House, Discovery Court Business Centre, 551-553 Wallisdown Road, Poole, Dorset, United Kingdom, BH12 5AG","","1,
86210","12.6","10.6","","","0.0","0.0","14.7","85.3","20.6","79.4","19.6","80.4","31.1","68.9","https://www.dorsetccg.nhs.uk/ccg/about/equality/","","250 to 499","Nhs Dorset Clinical Commissioning Group","False","06/10/2021 00:00:00","30/12/2020 14:28:16"
"NIC SERVICES GROUP LIMITED","Hoyland House, Forge Lane, Armley, Leeds, West Yorkshire, LS12 2HQ","05073859","81100","4.0","0.0","	-79.0","52.0","2.0","1.0","44.0","56.0","43.0","57.0","42.0","58.0","49.0","51.0","https://www.nicgroup.co.uk//documents/Gender-Pay-Gap-Report-2019.pdf","Simon Tidswell (Group Financial Director)","5000 to 19,999","NIC SERVICES GROUP LIMITED","False","06/10/2021 00:00:00","11/02/2021 12:12:58"
"NICOVENTURES RETAIL (UK) LIMITED","Globe House, 1 Water Street, London, England, WC2R 3LA","10235033","47789","2.0","	-1.0","7.0","19.0","89.0","92.0","52.0","48.0","51.0","49.0","44.0","56.0","54.0","46.0","https://www.bat.com/group/sites/UK__9D9KCY.nsf/vwPagesWebLive/DOAWWEKR/$file/BAT_Gender_Pay_Report_2020.pdf","Jack Bowles (Chief Executive)","250 to 499","NICOVENTURES RETAIL (UK) LIMITED","False","06/10/2021 00:00:00","09/03/2021 13:42:10"
"NIFCO UK LIMITED","NIFCO UK LTD, Nifco House Durham Lane, Eaglescliffe, Stockton-On-Tees, Cleveland, TS16 0PS","01392769","22290","16.1","5.3","","","0.0","0.0","53.2","46.8","67.1","32.9","85.6","14.4","92.8","7.2","","Frances Hoy (General Manager HR)","500 to 999","NIFCO UK LIMITED","False","06/10/2021 00:00:00","11/03/2021 12:41:36"
"NIGHTINGALE GROUP LIMITED","Trentham Care Centre, Longton Road, Stoke-On-Trent, Staffordshire, England, ST4 8FF","02109114","86900","13.8","0.0","","","0.0","0.0","18.0","82.0","15.0","85.0","16.0","84.0","31.0","69.0","http://www.nghc.co.uk","Phil Lloyd (Director of Clinical Services)","250 to 499","NIGHTINGALE GROUP LIMITED","False","06/10/2021 00:00:00","04/03/2021 15:50:24"
"NIMAX THEATRES LIMITED","11 Maiden Lane, London, WC2E 7NA","05493237","90030","	-0.4","	-10.2","","","0.0","0.0","49.4","50.6","58.2","41.8","62.0","38.0","64.6","35.4","https://www.nimaxtheatres.com/gender-pay-gap-2020/","Tony Yoe (Finance Director)","250 to 499","NIMAX THEATRES LIMITED","False","06/10/2021 00:00:00","08/03/2021 17:04:16"
"Norfolk Community Health And Care Nhs Trust Charitable Fund","Fundraising Manager, Nchc Nhs Trust Charitable Fund, Woodlands House, Norwich Community Hospital, Bowthorpe Road, Nor, Norwich, Norfolk, United Kingdom, NR2 3TU","","1,
86210","8.4","	-6.0","	-37.1","	-26.3","50.0","50.0","16.9","83.1","11.7","88.3","15.6","84.4","14.7","85.3","https://www.norfolkcommunityhealthandcare.nhs.uk/download.cfm?doc=docm93jijm4n1993.pdf&ver=2435","","1000 to 4999","Norfolk Community Health And Care Nhs Trust Charitable Fund","False","06/10/2021 00:00:00","09/03/2021 11:44:47"
"NORSE CARE LIMITED","280 Fifers Lane, Norwich, Norfolk, United Kingdom, NR6 6EQ","07445484","87300","6.6","0.4","62.2","83.2","3.6","2.7","9.6","90.4","10.0","90.0","11.4","88.6","9.2","90.8","https://norsegroup.co.uk/wp-content/uploads/2021/03/NG-Gender-Pay-Gap-Report-08.03.21-6045f54eceba6.pdf","Katie Marrison (Group HR Director)","1000 to 4999","NORSE CARE LIMITED","False","06/10/2021 00:00:00","10/03/2021 11:18:05"
"NORSE COMMERCIAL SERVICES LIMITED","280 Fifers Lane, Norwich, Norfolk, United Kingdom, NR6 6EQ","02888808","81100","21.6","7.8","59.5","10.6","4.3","3.0","30.2","69.8","39.8","60.2","37.5","62.5","57.8","42.2","https://norsegroup.co.uk/wp-content/uploads/2021/03/NG-Gender-Pay-Gap-Report-08.03.21-6045f54eceba6.pdf","Katie Marrison (Group HR Director)","1000 to 4999","NORSE COMMERCIAL SERVICES LIMITED","False","06/10/2021 00:00:00","10/03/2021 11:19:47"
"NORSE EASTERN LIMITED","280 Fifers Lane, Norwich, Norfolk, United Kingdom, NR6 6EQ","07445476","81100","18.9","17.5","48.7","19.6","1.2","0.9","7.1","92.9","26.7","73.3","19.4","80.6","82.0","18.0","https://norsegroup.co.uk/wp-content/uploads/2021/03/NG-Gender-Pay-Gap-Report-08.03.21-6045f54eceba6.pdf","Katie Marrison (Group HR Director)","1000 to 4999","NORSE EASTERN LIMITED","False","06/10/2021 00:00:00","10/03/2021 11:21:52"
"NORSE TRANSPORT","280 Fifers Lane, Norwich, Norfolk, United Kingdom, NR6 6EQ","04372409","49390","4.0","1.7","100.0","100.0","0.8","0.0","19.8","80.2","33.3","66.7","75.6","24.4","73.3","26.7","https://norsegroup.co.uk/wp-content/uploads/2021/03/NG-Gender-Pay-Gap-Report-08.03.21-6045f54eceba6.pdf","Katie Marrison (Group HR Director)","250 to 499","NORSE TRANSPORT","False","06/10/2021 00:00:00","10/03/2021 11:26:32"
"North East Derbyshire District Council","2013 District Council Offices, Mill Lane, Wingerworth, Chesterfield, S42 6NG","","","7.9","11.8","","","0.0","0.0","36.1","63.9","48.8","51.2","56.9","43.1","59.8","40.2","https://www.ne-derbyshire.gov.uk/","","250 to 499","North East Derbyshire District Council","False","06/10/2021 00:00:00","17/02/2021 10:51:22"
"NORTH GROUP SERVICES LIMITED","100 The Quayside, Newcastle Upon Tyne, United Kingdom, NE1 3DU","03922841","78300","49.9","44.7","68.1","48.9","100.0","100.0","23.0","77.0","39.0","61.0","62.5","37.5","79.0","21.0","https://www.nepia.com/gender-pay-gap/","Dawn Robinson (Global Director (People))","250 to 499","NORTH GROUP SERVICES LIMITED","False","06/10/2021 00:00:00","11/01/2021 12:47:53"
"North Hertfordshire District Council","North Hertfordshire District Council, District Council Offices, Gernon Road, Letchworth Garden City, Hertfordshire, SG6 3JF","","1,
84110","20.0","13.0","	-42.5","0.0","1.9","2.0","31.0","69.0","21.8","78.2","25.6","74.4","51.7","48.3","https://www.north-herts.gov.uk/home/council-data-and-performance/policies/workforce-profile","","250 to 499","North Hertfordshire District Council","False","06/10/2021 00:00:00","24/02/2021 11:49:00"
"North Somerset Council","Town Hall, Walliscote Grove Road, Weston-Super-Mare, BS23 1UJ","","1,
84110","11.7","11.1","","","0.0","0.0","24.0","76.0","16.0","84.0","23.0","77.0","36.0","64.0","https://www.n-somerset.gov.uk/sites/default/files/2021-02/gender%20pay%20gap%20report%20-%20March%202021.pdf","","1000 to 4999","North Somerset Council","False","06/10/2021 00:00:00","11/02/2021 16:39:22"
"North Staffordshire Combined Healthcare N H S Trust","Bellringer Road, Stoke-On-Trent, Staffordshire, ST4 8HH","","1,
86210","17.7","6.5","23.4","	-13.1","2.4","0.2","14.8","85.2","24.9","75.1","19.7","80.3","27.0","73.0","https://www.combined.nhs.uk/working-together/diversity-and-inclusion/","","1000 to 4999","North Staffordshire Combined Healthcare N H S Trust","False","06/10/2021 00:00:00","14/10/2020 08:13:49"
"North Tyneside Council","Quadrant, The Silverlink North, Cobalt Business Park, North Shields, Tyne And Wear, United Kingdom, NE27 0BY","","1,
84110","8.1","0.1","","","0","0","18","82","45","55","36","64","39","61","https://my.northtyneside.gov.uk/category/1270/staffing-and-equality","","1000 to 4999","North Tyneside Council","False","06/10/2021 00:00:00","03/02/2021 16:36:14"
"Northampton General Hospital Nhs Trust","Cliftonville, Northampton, Northamptonshire, United Kingdom, NN1 5BD","","1,
86210","27.9","11.5","80.3","78.3","9.7","16.4","19.1","80.9","18.2","81.8","14.9","85.1","30.8","69.2","https://www.northamptongeneral.nhs.uk/About/Equality-and-diversity-information/Equality-Diversity-Inclusion.aspx","","5000 to 19,999","Northampton General Hospital Nhs Trust","False","06/10/2021 00:00:00","27/01/2021 15:00:16"
"NORTHAMPTON PARTNERSHIP HOMES LIMITED","The Guildhall, St. Giles Square, Northampton, Northamptonshire, NN1 1DE","09019453","68320","1.3","0.0","","","0.0","0.0","58.5","41.5","54.0","46.0","39.7","60.3","58.5","41.5","https://www.nph.org.uk/gender-pay-gap","Mike Kay (Chief Executive)","250 to 499","NORTHAMPTON PARTNERSHIP HOMES LIMITED","False","06/10/2021 00:00:00","23/02/2021 14:09:42"
"NORTHAMPTON RUGBY FOOTBALL CLUB LIMITED","Franklins Gardens, Weedon Road, Northampton, Northamptonshire, NN5 5BG","03139409","93110","70.0","47.0","51.0","48.0","26.0","24.0","53.0","47.0","51.0","49.0","91.0","9.0","98.0","2.0","","tim stobbs (finance manager)","250 to 499","NORTHAMPTON RUGBY FOOTBALL CLUB LIMITED","False","06/10/2021 00:00:00","20/01/2021 16:18:40"
"Northamptonshire Fire & Rescue Service","Moulton Logistics Centre, Moulton Way, Northampton, Northamptonshire, United Kingdom, NN3 6XJ","","1,
84250","13.0","10.0","","","0.0","0.0","71.6","28.4","78.0","22.0","83.0","17.0","94.3","5.7","","","500 to 999","Northamptonshire Fire & Rescue Service","False","06/10/2021 00:00:00","03/12/2020 16:42:39"
"NORTHERN LIFE CARE LIMITED","9 Haywra Street, Harrogate, North Yorkshire, HG1 5BJ","01867042","86900","	-0.5","0.0","","","0.0","0.0","22.8","77.2","44.6","55.4","30.4","69.6","32.1","67.9","https://www.ubu.me.uk/gender-pay-reports","Lesley Rattigan (Director of Quality)","500 to 999","NORTHERN LIFE CARE LIMITED","False","06/10/2021 00:00:00","23/02/2021 12:39:09"
"NORTHERN POWERGRID (NORTHEAST) PLC","Lloyds Court, 78 Grey Street, Newcastle Upon Tyne, NE1 6AF","02906593","35130","20.9","26.3","	-43.9","54.7","99.1","98.7","61.0","39.0","83.0","17.0","90.0","10.0","89.0","11.0","https://www.northernpowergrid.com/asset/0/document/5858.pdf","Phil Jones (President and Chief Executive Officer)","1000 to 4999","NORTHERN POWERGRID (NORTHEAST) PLC","False","06/10/2021 00:00:00","28/01/2021 12:53:42"
"NORTHERN POWERGRID (YORKSHIRE) PLC","Lloyds Court, 78 Grey Street, Newcastle Upon Tyne, NE1 6AF","04112320","35130","15.1","14.5","	-22.5","3.2","99.1","97.5","73.0","27.0","91.0","9.0","88.0","12.0","92.0","8.0","https://www.northernpowergrid.com/asset/0/document/5858.pdf","Phil Jones (President and Chief Executive Officer)","1000 to 4999","NORTHERN POWERGRID (YORKSHIRE) PLC","False","06/10/2021 00:00:00","28/01/2021 13:00:50"
"NOTEMACHINE GROUP HOLDINGS LIMITED","Russell House, Elvicta Business Park, Crickhowell, Powys, NP8 1DF","08047999","74990","26.0","28.0","	-6.0","64.0","92.0","90.0","62.0","38.0","48.0","52.0","97.0","3.0","79.0","21.0","https://www.notemachine.com/","Grant Foley (Chief Financial Officer)","500 to 999","NOTEMACHINE GROUP HOLDINGS LIMITED","False","06/10/2021 00:00:00","03/03/2021 12:50:34"
"NOTTINGHAM ICE CENTRE LIMITED","National Ice Centre, Bolero Square, Nottingham, NG1 1LA","03563341","93290","	-7.00","0.00","	-50.70","40.00","2.00","1.00","35.60","64.40","32.70","67.30","40.10","59.90","51.70","48.30","","Karen Terrington (HR Manager)","1000 to 4999","NOTTINGHAM ICE CENTRE LIMITED","False","06/10/2021 00:00:00","21/05/2020 09:45:58"
"Nottingham University Hospitals Nhs Trust","Hucknall Road, Nottingham, United Kingdom, NG5 1PB","","1,
86210","24.2","6.1","40.8","33.3","42.5","54.0","35.6","64.4","18.3","81.7","21.1","78.9","21.3","78.7","https://www.nuh.nhs.uk/gender-pay-gap","","5000 to 19,999","Nottingham University Hospitals Nhs Trust","False","06/10/2021 00:00:00","05/03/2021 09:57:25"
"NOVAR ED&S LIMITED","Honeywell House, Skimped Hill Lane, Bracknell, Berks, RG12 1EB","00189291","27510,
27900","23.4","31.4","18.3","	-47.6","54.9","52.0","57.8","42.2","70.8","29.2","87.8","12.2","82.2","17.8","https://www.honeywell.com/gb/en","Jennifer Dunn (Sr HR Director)","250 to 499","NOVAR ED&S LIMITED","False","06/10/2021 00:00:00","03/03/2021 13:45:49"
"NSAH (ALLIANCE HOMES) LIMITED","40 Martingale Way, Portishead, BS20 7AW","IP29804R","","6.00","7.30","10.00","0.10","9.60","2.30","26.20","73.80","52.90","47.10","55.30","44.70","62.40","37.60","","Louise Swain (Group Chief Executive Officer)","250 to 499","NSAH (ALLIANCE HOMES) LIMITED","False","06/10/2021 00:00:00","23/07/2020 12:51:33"
"NTT DATA UK LIMITED","2 Royal Exchange, London, EC3V 3DG","03085018","63990","20.8","27.7","44.9","47.8","43.6","39.0","65.0","35.0","58.0","42.0","80.2","19.8","84.5","15.5","","Pam Chase (SVP Human Resources)","500 to 999","NTT DATA UK LIMITED","False","06/10/2021 00:00:00","20/01/2021 16:13:20"
"NUFARM UK LIMITED","Nufarm Wyke Lane, Wyke, Bradford, West Yorkshire, BD12 9EJ","02882993","20200","	-16.1","	-4.7","21.5","0.0","97.6","95.9","91.6","8.4","87.9","12.1","84.3","15.7","78.1","21.9","","Nerys Finch (Head of HR UK & Ireland)","250 to 499","NUFARM UK LIMITED","False","06/10/2021 00:00:00","25/02/2021 16:44:12"
"Nugent","99 Edge Lane, Liverpool, Merseyside, L7 2PE","","85590,
87200,
87300,
87900,
88990","8.6","8.2","","","0.0","0.0","14.1","85.9","20.8","79.2","34.2","65.8","32.5","67.5","https://wearenugent.org/about/people/gender-pay-statements/","Normandie Wragg (Chief Executive Officer)","500 to 999","Nugent","False","06/10/2021 00:00:00","01/03/2021 08:24:51"
"NURSE PLUS AND CARER PLUS (UK) LIMITED","Unit 2 Eurogate Business Park, Ashford, Kent, United Kingdom, TN24 8XW","05512996","78200","2.8","0.0","15.4","	-53.5","10.7","8.8","20.6","79.4","20.2","79.8","19.0","81.0","21.5","78.5","https://oliver-dev.s3.amazonaws.com/2021/02/02/09/09/21/87b15731-3664-4b53-b029-bf273a74106b/Gender%20pay%20gap%20to%20April%202020.pdf","Gareth Stewart (Finance Director)","5000 to 19,999","NURSE PLUS AND CARER PLUS (UK) LIMITED","False","06/10/2021 00:00:00","03/02/2021 12:37:58"
"OADBY, WIGSTON AND LEICESTERSHIRE SCHOOLS ACADEMY TRUST","Langmoor Primary School, Kenilworth Drive, Oadby, Leicestershire, LE2 5HS","08537140","85200","22.7","6.6","","","0.0","1.5","2.8","97.2","4.2","95.8","15.5","84.5","9.9","90.1","http://https://www.owlsacademytrust.co.uk/information/gender-pay-gap","Kirsten McLaren (Acting CFO)","250 to 499","OADBY, WIGSTON AND LEICESTERSHIRE SCHOOLS ACADEMY TRUST","False","06/10/2021 00:00:00","11/03/2021 11:06:47"
"OAK MULTI ACADEMY TRUST","Manor High School, Copse Close, Oadby, Leicestershire, LE2 4FU","07695364","85100,
85200,
85310","25.6","44.7","","","0.0","0.0","11.7","88.3","4.9","95.1","13.6","86.4","26.2","73.8","","","250 to 499","OAK MULTI ACADEMY TRUST","False","06/10/2021 00:00:00","26/02/2021 13:05:59"
"OAKHAM SCHOOL","Chapel Close, Market Place, Oakham, Rutland, LE15 6DT","06924216","85310","21.0","31.0","","","0.0","0.0","17.0","83.0","23.0","77.0","41.0","59.0","51.0","49.0","https://oakham.rutland.sch.uk","NEIL GORMAN (CHAIR OF TRUSTEES)","500 to 999","OAKHAM SCHOOL","False","06/10/2021 00:00:00","19/02/2021 16:36:15"
"OAKWOOD DISTRIBUTION LIMITED","Tesco House, Shire Park, Kestrel Way, Welwyn Garden City, United Kingdom, AL7 1GA","05721635","82990","15.1","	-0.2","60.5","4.8","78.5","91.2","57.7","42.3","76.1","23.9","59.2","40.8","68.6","31.4","http://www.tescoplc.com/genderpay","Jason Tarry (Chief Executive, UK & ROI)","250 to 499","OAKWOOD DISTRIBUTION LIMITED","False","06/10/2021 00:00:00","24/02/2021 12:05:31"
"OASIS DENTAL CARE LIMITED","Bupa Dental Care Vantage Office Park, Old Gloucester Road, Hambrook, Bristol, United Kingdom, BS16 1GW","00478127","86230","33.7","18.6","63","36.8","20.5","12.4","4","96","4.6","95.4","5.8","94.2","15","85","https://www.bupa.com/~/media/files/site-specific-files/legal%20notices/gpg.pdf","David Hynam (CEO, Bupa Global & UK)","1000 to 4999","OASIS DENTAL CARE LIMITED","False","06/10/2021 00:00:00","29/01/2021 12:11:33"
"OCADO CENTRAL SERVICES LIMITED","Buildings One & Two Trident Place, Mosquito Way, Hatfield, Hertfordshire, United Kingdom, AL10 9UL","09047023","70100","	-1.3","	-0.2","2.2","	-18.0","80.0","63.0","78.0","22.0","87.0","13.0","86.0","14.0","79.0","21.0","https://www.ocadogroup.com/sites/ocado-corp-v2/files/our-responsible-business/ocado-group-policies/Gender%20pay%20gap%20reporting%20statement%202020.pdf","Neill Abrams (Executive Director & Group General Counsel)","5000 to 19,999","OCADO CENTRAL SERVICES LIMITED","False","06/10/2021 00:00:00","09/02/2021 13:25:58"
"OCTOPUS CAPITAL LIMITED","6th Floor, 33 Holborn, London, EC1N 2HT","03981143","66120","34.0","26.0","63.0","47.0","64.0","64.0","52.0","48.0","51.0","49.0","56.0","44.0","78.0","22.0","","Simon Rogerson (Chief Executive Officer)","500 to 999","OCTOPUS CAPITAL LIMITED","False","06/10/2021 00:00:00","02/03/2021 09:09:33"
"ODYSSEY COLLABORATIVE TRUST","The Hub Borrowash Road, Spondon, Derby, England, DE21 7PH","11697576","85200","28.6","38.0","","","0.0","0.0","1.0","99.0","4.0","96.0","10.0","90.0","17.0","83.0","","","250 to 499","ODYSSEY COLLABORATIVE TRUST","False","06/10/2021 00:00:00","04/03/2021 12:51:31"
"Office For Standards In Education, Childrens Services And Skills","Piccadilly Gate, Store Street, Manchester, M1 2WD","","1,
84110","4.8","	-6.2","14.2","14.3","78.0","80.0","35.0","65.0","36.0","64.0","19.0","81.0","44.0","56.0","https://www.gov.uk/government/publications/ofsted-gender-pay-gap-report-and-data-2020/ofsted-gender-pay-gap-report-and-data-2020","","1000 to 4999","Office For Standards In Education, Childrens Services And Skills","False","06/10/2021 00:00:00","15/12/2020 14:53:57"
"Office Of Rail and Road","25 Cabot Square, London, London, E14 4QZ","","1,
84110","17.9","17.4","7.2","25.0","71.7","71.5","71.6","28.4","69.5","30.5","58.0","42.0","42.7","57.3","https://www.orr.gov.uk/about/diversity-and-inclusion","","250 to 499","Office Of Rail and Road","False","06/10/2021 00:00:00","15/12/2020 16:16:55"
"Office of the West Midlands Police and Crime Commissioner","Lloyd House, Colmore Circus Queenway, B4 6NQ","","1,
84240","	-0.10","1.10","","","0.00","0.00","36.40","63.60","27.30","72.70","45.50","54.50","36.40","63.60","https://www.westmidlands-pcc.gov.uk/opcc-publishes-gender-pay-audit-no-tangible-pay-gap-found-within-the-organisation/","","Less than 250","Office of the West Midlands Police and Crime Commissioner","False","06/10/2021 00:00:00","06/05/2020 20:16:55"
"OGILVY & MATHER GROUP (HOLDINGS) LIMITED","Sea Containers, 18 Upper Ground, London, England, SE1 9RQ","00045810","73110","23.6","24.7","42.7","37.1","25.9","19.8","33","67","36","64","45","55","59","41","","Helen Matthews (Chief People Officer)","1000 to 4999","OGILVY & MATHER GROUP (HOLDINGS) LIMITED","False","06/10/2021 00:00:00","11/03/2021 10:29:00"
"OLDHAM COMMUNITY LEISURE LIMITED","Chadderton Wellbeing Centre, Burnley Street, Chadderton, OL9 0JW","IP29372R","","	-8.5","	-5.9","	-2.9","	-2.9","2.0","1.0","48.0","52.0","53.0","47.0","38.0","62.0","43.0","57.0","https://oclactive.co.uk/about-us/","Louise Walton (Head of Human Resources)","250 to 499","OLDHAM COMMUNITY LEISURE LIMITED","False","06/10/2021 00:00:00","10/12/2020 14:23:43"
"ONE STOP STORES LIMITED","Apex Road, Brownhills, Walsall, West Midlands, United Kingdom, WS8 7HU","02462858","41100,
47110","6.3","2.3","56.1","3.6","5.4","4.7","39.3","60.7","30.6","69.4","38.1","61.9","50","50","http://www.tescoplc.com/genderpay","Jason Tarry (Chief Executive, UK & ROI)","5000 to 19,999","ONE STOP STORES LIMITED","False","06/10/2021 00:00:00","24/02/2021 11:19:48"
"ONE YMCA","Charter House, Charter Place, Watford, Hertfordshire, WD17 2RT","04430743","55900,
85510,
88910,
94990","10.0","0.0","","","0.0","0.0","32.0","68.0","33.0","67.0","14.0","86.0","39.0","61.0","","Joseph Kennedy (Head of HR)","250 to 499","ONE YMCA","False","06/10/2021 00:00:00","17/02/2021 13:41:00"
"ORDNANCE SURVEY LIMITED","Explorer House Adanac Drive, Nursling, Southampton, Hampshire, SO16 0AS","09121572","74909","7.8","0.3","9.7","14.0","83.7","80.8","58.0","42.0","81.0","19.0","64.0","36.0","76.0","24.0","https://ordnancesurvey.co.uk/documents/gender-pay-gap-report-2020.pdf","","1000 to 4999","ORDNANCE SURVEY LIMITED","False","06/10/2021 00:00:00","26/02/2021 12:07:07"
"OSBORNE CO-OPERATIVE ACADEMY TRUST","St Clere's School, Butts Lane, Stanford-Le-Hope, Essex, SS17 0NW","07703865","85100,
85200,
85310,
85410","36.4","60.4","	-0.4","21.1","10.2","3.2","5.0","95.0","6.8","93.2","22.4","77.6","28.3","71.7","http://www.osborne.coop/","","500 to 999","OSBORNE CO-OPERATIVE ACADEMY TRUST","False","06/10/2021 00:00:00","05/03/2021 12:27:48"
"Osprey Learning Trust","Exeter road, Teignmouth, Devon, TQ14 9HZ","","","14.4","27.9","","","0.0","0.0","26.0","74.0","17.0","83.0","26.0","74.0","40.0","60.0","https://www.ospreylearningtrust.co.uk","","250 to 499","Osprey Learning Trust","False","06/10/2021 00:00:00","20/01/2021 15:48:30"
