"EmployerName","EmployerId","Address","PostCode","CompanyNumber","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","CompanyLinkToGPGInfo","ResponsiblePerson","EmployerSize","CurrentName","SubmittedAfterTheDeadline","DueDate","DateSubmitted"
"MEDVIVO GROUP LIMITED","16632","Fox Talbot House, Bellinger Close, Chippenham, Wiltshire, England, SN15 1BN","SN15 1BN","05146354","86900","-10.1","-10.7","-19.4","-36.6","62","72","33","67","44","56","18","82","32","68","","Paul Rouemaine (HRIS Manager)","250 to 499","MEDVIVO GROUP LIMITED","False","2023/04/05 00:00:00","2022/08/22 09:26:56"
"MENTAL HEALTH MATTERS","16607","Avalon House, Saint Catherines Court, Sunderland, Tyne And Wear, SR5 3XJ","SR5 3XJ","01786914","86900","1","5","","","0","0","19","81","15","85","19","81","20","80","","Edward Heatley (Director of Finance & Corporate Services)","500 to 999","MENTAL HEALTH MATTERS","False","2023/04/05 00:00:00","2023/01/25 12:06:15"
"MERCER LIMITED","8342","1 Tower Place West, Tower Place, London, EC3R 5BU","EC3R 5BU","00984275","82990","25.2","24.4","52.8","56.0","83.0","81.6","39","61","47","53","53","47","65","35","https://www.uk.mercer.com/gender-diversity-targets.html","Benoit Hudon (CEO, UK, Mercer Limited)","1000 to 4999","MERCER LIMITED","False","2023/04/05 00:00:00","2022/12/09 15:49:29"
"MERIDIAN TRUST","2720","Sawtry Village Academy Fen Lane, Sawtry, Huntingdon, England, PE28 5TQ","PE28 5TQ","07552498","85100,
85200,
85310,
85510","15.0","30.1","","","0","0","21.10","78.90","19.60","80.40","29.40","70.60","38.20","61.80","https://www.meridiantrust.co.uk/key-information/governance-key-information/miscellaneous/","","1000 to 4999","MERIDIAN TRUST","False","2023/03/31 00:00:00","2022/12/19 09:40:39"
"MERKUR SLOTS UK LIMITED","2914","Seebeck House 1a Seebeck Place, Knowlhill, Milton Keynes, Buckinghamshire, MK5 8FR","MK5 8FR","01038403","92000","0.3","4.5","-24.1","-73.2","69.8","77.4","40.3","59.7","47.5","52.5","39.7","60.3","45.6","54.4","","Vicky Grier (Head of HR)","1000 to 4999","MERKUR SLOTS UK LIMITED","False","2023/04/05 00:00:00","2022/10/31 14:16:43"
"Merseyside Fire and Rescue Service","14088","Bridle Road, Bootle, Merseyside, L30 4YD","L30 4YD","","1,
84250","10.4","2.3","","","0","0","56.3","43.7","72.2","27.8","75.5","24.5","80.6","19.4","https://www.merseyfire.gov.uk/media/2608/edi-annual-report-2021-22-final-for-publication.pdf","","500 to 999","Merseyside Fire and Rescue Service","False","2023/03/31 00:00:00","2022/10/10 14:16:41"
"Merseytravel","17247","1 Mann Island, Liverpool, L3 1BP","L3 1BP","","1","8.14","10.09","","","0","0","53.11","46.89","55.62","44.38","72.47","27.53","71.35","28.65","","","500 to 999","Merseytravel","False","2023/03/31 00:00:00","2023/01/16 12:22:53"
"METHODIST HOMES","8380","Epworth House, Stuart Street, Derby, Derbyshire, DE1 2EQ","DE1 2EQ","04043124","87100","5","1.7","-29.8","-62.5","3","3.6","18.7","81.3","22.6","77.4","10.6","89.4","15.2","84.8","","Anna Marshall-Day (Director of People and Communications)","5000 to 19,999","METHODIST HOMES","False","2023/04/05 00:00:00","2022/07/28 12:19:04"
"MHR INTERNATIONAL UK LIMITED","545","Peterbridge House, The Lakes, Northampton, United Kingdom, NN4 7HB","NN4 7HB","01852206","62090","20.18","21.16","33.1","18.8","32.4","28.4","48.3","51.7","55.0","45.0","64.3","35.7","71.5","28.5","","Anton Roe (CEO)","500 to 999","MHR INTERNATIONAL UK LIMITED","False","2023/04/05 00:00:00","2023/01/31 14:44:18"
"MI HUB LIMITED","8738","3 Long Acres, Willow Farm, Castle Donington, Derbyshire, DE74 2UG","DE74 2UG","00454264","14120","7.2","-7.9","46.6","54.9","6.6","9.1","48.6","51.4","28.6","71.4","31.8","68.2","42.2","57.8","","Hayley Brooks (Chief Executive Officer)","500 to 999","MI HUB LIMITED","False","2023/04/05 00:00:00","2023/01/25 15:40:00"
"Mid Devon District Council","602","Phoenix House, Phoenix Lane, Tiverton, Devon, United Kingdom, EX16 6PP","EX16 6PP","","1,
84110","0.14","0.00","","","0.00","0.00","60","40","36","64","44","56","46","54","","","500 to 999","Mid Devon District Council","False","2023/03/31 00:00:00","2023/01/30 09:32:45"
"Middlesbrough College","8436","Dock Street, Middlesbrough, Cleveland, United Kingdom, TS2 1AD","TS2 1AD","","1,
85320","3.9","7.8","-24.3","0","76.0","73.8","42.0","58.0","34.4","65.6","38.7","61.3","47.7","52.3","","","1000 to 4999","Middlesbrough College","False","2023/03/31 00:00:00","2022/10/19 17:24:47"
"Middlesex University","8438","Hendon Campus, The Burroughs, London, NW4 4BT","NW4 4BT","","1,
85421","11.3","8.0","29.5","-11.1","0.1","0.1","35.3","64.7","35.7","64.3","42.6","57.4","51.5","48.5","https://www.mdx.ac.uk/about-us/policies/gender-pay","","1000 to 4999","Middlesex University","False","2023/03/31 00:00:00","2022/12/05 11:26:34"
"Midkent College","8441","Medway Road, Gillingham, Kent, United Kingdom, ME7 1FN","ME7 1FN","","1,
85590","13.7","20.4","","","0","0","34","66","24","76","38","62","52","48","https://www.midkent.ac.uk/_img/pics/pdf_1666785504.pdf","","500 to 999","Midkent College","False","2023/03/31 00:00:00","2022/10/26 12:08:08"
"MIDLAND BLUEBIRD LIMITED","8442","Carmuirs House, 300 Stirling Road, Larbert, Stirlingshire, FK5 3NJ","FK5 3NJ","SC016923","49319","7.0","0.9","10.5","0.0","84.3","78.0","80.8","19.2","90.3","9.7","88.9","11.1","90.4","9.6","https://www.firstgroupplc.com/~/media/Files/F/Firstgroup-Plc/reports-and-presentations/reports/first-group-gender-and-ethnicity-pay-gap-report-2022.pdf","Duncan Cameron (MANAGING DIRECTOR SCOTLAND)","250 to 499","MIDLAND BLUEBIRD LIMITED","False","2023/04/05 00:00:00","2023/01/11 09:03:05"
"MIDLAND HEART LIMITED","8444","20 Bath Row, Birmingham, West Midlands, United Kingdom, B15 1LZ","B15 1LZ","IP30069R","","19.9","15.02","87.7","0","65.8","58.8","25","75","35","65","59","41","53","47","https://www.midlandheartgroup.org.uk/media/fhdd5koq/gender-pay-gap-report-2022.pdf","Baljinder Kang (Executive Director of Corporate Resources)","1000 to 4999","MIDLAND HEART LIMITED","False","2023/04/05 00:00:00","2023/01/13 11:09:06"
"MILKWOOD CARE LTD","8466","Dylan House, 17 Bowen Lane, Petersfield, Hampshire, GU31 4DR","GU31 4DR","03729130","87100,
87200,
87300","5.17","-0.91","64","69","4","4","17.6","82.4","18.8","81.2","13.9","86.1","19.8","80.2","","Larry Jepp (Finance Director)","250 to 499","MILKWOOD CARE LTD","False","2023/04/05 00:00:00","2023/01/26 16:38:07"
"MILLENNIUM CARE HOMES LIMITED","8473","253 Hertford Road, Enfield, Middlesex, United Kingdom, EN3 5JL","EN3 5JL","03071484","82990,
86102,
87100","1","1","","","0","0","16","84","9","91","18","82","16","84","","Mansoor Esmail (Director)","250 to 499","MILLENNIUM CARE HOMES LIMITED","False","2023/04/05 00:00:00","2023/01/24 09:13:49"
"Milton Keynes  College","16550","Chaffron Way Campus, Leadenhall, Milton Keynes, MK6 5LP","MK6 5LP","","1,
85310","5.2","4.5","-115.5","67.9","1.5","1.1","20.2","79.8","32.2","67.8","38.5","61.5","36.7","63.3","https://mkcollege.ac.uk/wp-content/uploads/2022/12/MKCG-Gender-Ethnicity-Pay-Gap-Report-2021-22-short.pdf","","500 to 999","Milton Keynes  College","False","2023/03/31 00:00:00","2022/12/01 14:50:53"
"Milton Keynes University Hospital NHS Foundation Trust","8486","Standing Way, Eaglestone, Milton Keynes, MK6 5LD","MK6 5LD","","1,
86210","26.4","16.1","30.9","27.3","4.5","0.5","18.6","81.4","17.2","82.8","13.1","86.9","36.1","63.9","https://www.mkuh.nhs.uk/about-us/public-documents/equality-and-diversity","","1000 to 4999","Milton Keynes University Hospital NHS Foundation Trust","False","2023/03/31 00:00:00","2022/08/03 17:09:39"
"MIMECAST SERVICES LIMITED","8489","Floor 4 1 Finsbury Avenue, London, England, EC2M 2PF","EC2M 2PF","04901524","62020","8.2","16.4","27.2","23.5","69.6","77.5","66","34","66","34","85","15","75","25","","SIMON BAMSEY (REWARD DIRECTOR)","500 to 999","MIMECAST SERVICES LIMITED","False","2023/04/05 00:00:00","2023/01/18 10:04:59"
"Ministry Of Defence","8498","6-N-22, MOD Main Building, Whitehall, London, United Kingdom, SW1A 2 HB","SW1A 2 HB","","1,
84110","7.9","7.8","14.7","16.7","57","56","54","46","56","44","63","37","68","32","https://www.gov.uk/government/publications/mod-gender-pay-gap-reports-2022","","20,000 or more","Ministry Of Defence","False","2023/03/31 00:00:00","2022/12/01 14:01:30"
"Ministry of Justice","8499","102 Petty France, London, London, SW1H 9AJ","SW1H 9AJ","","1,
84110","5.9","11.4","11.6","0.0","30.3","36","34","66","41","59","52","48","45","55","https://www.gov.uk/government/publications/ministry-of-justice-gender-pay-gap-report-2022/ministry-of-justice-gender-pay-gap-report-2022#:~:text=The%20MOJ%20Group%20mean%20gender,comparing%20the%20median%20hourly%20pay.","","20,000 or more","Ministry of Justice","False","2023/03/31 00:00:00","2023/01/19 19:59:16"
"MINSTHORPE ACADEMY TRUST","8504","Minsthorpe Community College Minsthorpe Lane, South Elmsall, Pontefract, West Yorkshire, WF9 2UJ","WF9 2UJ","07635467","85310","13.09","27.34","","","0","0","3","97","33","67","38","62","24","76","https://www.minsthorpe.cc/page/?title=Statutory+Policies+and+Publications&pid=12","","250 to 499","MINSTHORPE ACADEMY TRUST","False","2023/03/31 00:00:00","2022/12/20 08:40:49"
"MINTEL GROUP LTD","8505","Mintel House, 4 Playhouse Yard, London, England, EC4V 5EX","EC4V 5EX","01475918","73200","20.6","24.4","28.5","22.6","51.2","48.9","34.3","65.7","41","59","55.2","44.8","61.9","38.1","","Debbie Cairns (HRBP)","500 to 999","MINTEL GROUP LTD","False","2023/04/05 00:00:00","2023/01/24 14:12:56"
"MOBILE WINDSCREENS LIMITED","8571","3rd Floor Central The Quorum, Bond Street, Bristol, England, BS1 3AE","BS1 3AE","01370175","45320","-3.3","-4.8","-33.0","2.8","59.3","22.9","84.6","15.4","89.7","10.3","86.2","13.8","81.9","18.1","","Sindhuja Karan (Payroll Officer)","250 to 499","MOBILE WINDSCREENS LIMITED","False","2023/04/05 00:00:00","2022/08/08 10:57:54"
"MODUS CARE (PLYMOUTH) LIMITED","15412","Minton Place, Victoria Street, Windsor, England, SL4 1EG","SL4 1EG","02994396","87200","15.4","17.9","","","0","0","55.6","44.4","50","50","25","75","12.5","87.5","https://salutemcareandeducation.co.uk/wp-content/uploads/2023/01/Modus-Care-Plymouth-Limited-Gender-Pay-Gap-Report-2022.pdf","Stephanie Buller (iTrent Systems Manager)","250 to 499","MODUS CARE (PLYMOUTH) LIMITED","False","2023/04/05 00:00:00","2023/01/17 08:46:07"
"MODUS CARE LIMITED","15411","Minton Place, Victoria Street, Windsor, England, SL4 1EG","SL4 1EG","03983561","86900","4.23","7.73","","","0","0","20","80","28.57","71.43","46.67","53.33","28.57","71.43","https://salutemcareandeducation.co.uk/wp-content/uploads/2023/01/Modus-Care-Limited-Gender-Pay-Gap-Report-2022.pdf","Stephanie Buller (iTrent Systems Manager)","250 to 499","MODUS CARE LIMITED","False","2023/04/05 00:00:00","2023/01/17 08:48:03"
"MONEYSUPERMARKET.COM FINANCIAL GROUP LIMITED","8599","Moneysupermarket House, Saint Davids Park, Ewloe, Chester, CH5 3UZ","CH5 3UZ","03157344","63990","13.4","23.5","28.6","-73.4","80","81","41","59","54","46","63","37","66","34","https://corporate.moneysupermarket.com/~/media/Files/M/Moneysupermarket-V3/documents/gender-pay-gap-report-2022.pdf","Peter Duffy (Chief Executive Officer)","500 to 999","MONEYSUPERMARKET.COM FINANCIAL GROUP LIMITED","False","2023/04/05 00:00:00","2022/11/02 16:00:57"
"MOONPIG GROUP PLC","21528","10 Back Hill, London, United Kingdom, EC1R 5EN","EC1R 5EN","13096622","70100","29.7","32.4","45.8","46.1","63.8","63.5","35.0","65.0","43.1","56.9","51.7","48.3","69.8","30.2","https://www.moonpig.group/responsibility/our-people/gender-pay-gap-reporting/","Nickyl Raithatha (CEO)","Less than 250","MOONPIG GROUP PLC","False","2023/04/05 00:00:00","2022/08/17 14:54:42"
"MOONPIG.COM LIMITED","21527","10 Back Hill, London, England, EC1R 5EN","EC1R 5EN","03852652","18129,
47910","26.9","30.6","44.8","45.8","57.1","58.2","25.7","74.3","48.6","51.4","62.2","37.8","72.6","27.4","https://www.moonpig.group/responsibility/our-people/gender-pay-gap-reporting/","Nickyl Raithatha (CEO)","250 to 499","MOONPIG.COM LIMITED","False","2023/04/05 00:00:00","2022/08/17 15:00:09"
"MOORCROFT GROUP PUBLIC LIMITED COMPANY","8622","Moorcroft House, No.2 Spring Gardens, Stockport, SK1 4AA","SK1 4AA","01704109","64999","14.8","-4","","","0","0","48.6","51.4","49.1","50.9","37.6","62.4","56.4","43.6","","Amanda Martin-McRoberts (Collections Director)","250 to 499","MOORCROFT GROUP PUBLIC LIMITED COMPANY","False","2023/04/05 00:00:00","2022/10/31 11:50:48"
"MOORE KINGSTON SMITH GROUP SERVICES LIMITED","7306","6th Floor 9 Appold Street, London, United Kingdom, EC2A 2AP","EC2A 2AP","07154990","82990","8.70","4.02","25.71","0","37.79","27.67","55.03","44.97","43.33","56.67","41.33","58.67","60","40","","Maureen Penfold (Managing Partner)","500 to 999","MOORE KINGSTON SMITH GROUP SERVICES LIMITED","False","2023/04/05 00:00:00","2023/01/16 13:12:10"
"MOORES REFRIGERATION CONTROLLED TRANSPORT LIMITED","8624","Potash Lane, Mid Suffolk Business Park, Eye, Suffolk, IP23 7HE","IP23 7HE","01190488","49410","2.7","11.7","48.6","-142.9","3.8","8.3","81.4","18.6","95.7","4.3","100.0","0.0","92.8","7.2","","Darren Moore (Director)","250 to 499","MOORES REFRIGERATION CONTROLLED TRANSPORT LIMITED","False","2023/04/05 00:00:00","2022/09/27 11:18:21"
"MOULTON TRADING LIMITED","8675","Moulton College, Moulton, Northants, United Kingdom, NN3 7RR","NN3 7RR","","1,
49390,
68209","11.02","9.83","45.33","33.33","5.3","3.6","33.8","66.2","37.14","62.86","40","60","50","50","https://www.moulton.ac.uk/assets/files/Governance/Policies-and-Documents/Gender-Pay-Report-FINAL_DA_Nov22.pdf","","250 to 499","MOULTON TRADING LIMITED","False","2023/03/31 00:00:00","2022/12/20 14:49:58"
"MOUNTJOY LTD","8678","Fairfield House, 47-51 Kingston Crescent, Portsmouth, England, PO2 8AA","PO2 8AA","06009150","81100","18.99","22.49","","","0","0","59","41","82","18","94","6","92","8","https://www.mountjoy.co.uk/gender-pay-gap-reporting","Chris Tunnicliffe (Financial Controller)","250 to 499","MOUNTJOY LTD","False","2023/04/05 00:00:00","2023/01/26 10:43:46"
"MPS CARE LIMITED","20731","Chace Court, Thorne, Doncaster, South Yorkshire, United Kingdom, DN8 4BW","DN8 4BW","05991760","70100","6.1","8","","","0","0","19.2","80.8","19.2","80.8","17.4","82.6","19.7","80.3","","Rebekah Ridgley (Finance Director)","250 to 499","MPS CARE LIMITED","False","2023/04/05 00:00:00","2023/01/30 14:12:53"
"MS INTERNATIONAL PLC","387","Balby Carr Bank, Balby, Doncaster, DN4 8DH","DN4 8DH","00653735","70100","16.7","-3.6","99.4","96.9","9.7","2.9","89","11","90.4","9.6","83.6","16.4","90.4","9.6","https://msiplc.com","David Rigby (Assistant Company Secretary)","250 to 499","MS INTERNATIONAL PLC","False","2023/04/05 00:00:00","2023/01/25 13:31:26"
"MTL ADVANCED LTD","18665","Britannia House, Junction Street, Darwen, Lancashire, BB3 2RB","BB3 2RB","07712250","25110","12.1","25.7","52.2","-70.0","85","93.3","88.9","11.1","96.8","3.2","98.4","1.6","96.8","3.2","","Keith Jenner (Finance Manager)","250 to 499","MTL ADVANCED LTD","False","2023/04/05 00:00:00","2022/06/09 14:42:34"
"MULTI PACKAGING SOLUTIONS UK LIMITED","8716","Suite 5, 2nd Floor Aspect House, Bennerley Road, Nottingham, United Kingdom, NG6 8WR","NG6 8WR","02586987","17219","17.5","20.8","38.1","0","37.3","28.5","65.7","34.3","74.3","25.7","87.9","12.1","89.2","10.8","","VICKI LOSTETTER (CHRO)","1000 to 4999","MULTI PACKAGING SOLUTIONS UK LIMITED","False","2023/04/05 00:00:00","2022/10/03 14:32:18"
"MYCSP LIMITED","515","Landmark House, Station Road, Cheadle, England, SK8 7BS","SK8 7BS","07640786","64999","-3.23","0.00","0.85","0.00","86.57","83.70","48.04","51.96","48.08","51.92","52.88","47.12","43.69","56.31","","Andrew Stephenson (Chief People Officer)","250 to 499","MYCSP LIMITED","False","2023/04/05 00:00:00","2022/12/15 13:57:33"
"Myerscough College","8744","St. Michaels Road, Preston, Lancashire, United Kingdom, PR3 0RY","PR3 0RY","","1,
85590","13.66","26.47","","","0","0","23.83","76.17","21.88","78.12","43.01","56.99","51.04","48.96","https://www.myerscough.ac.uk/media/10762/myerscough-gender-pay-report-march-2023.pdf","","500 to 999","Myerscough College","False","2023/03/31 00:00:00","2023/01/27 09:29:57"
"NACRO","8770","Walkden House, 16-17 Devonshire Square, London, England, EC2M 4SQ","EC2M 4SQ","00203583","68201,
85600,
88990","9.9","5.3","","","0","0","32","68","32","68","31","69","32","68","https://www.nacro.org.uk/","Andrew Hodges (Director of Finance and Corporate Services)","500 to 999","NACRO","False","2023/04/05 00:00:00","2022/05/05 13:37:09"
"National Audit Office","8785","157-197 Buckingham Palace Road, London, London, United Kingdom, SW1W 9SP","SW1W 9SP","","1","6.4","5.5","","","0","0","52","48","48","52","53","47","58","42","https://www.nao.org.uk/wp-content/uploads/2022/12/the-national-audit-office-diversity-pay-gap-report-2022.pdf","","500 to 999","National Audit Office","False","2023/03/31 00:00:00","2022/12/22 13:37:11"
"NATIONAL COUNCIL OF YOUNG MEN'S CHRISTIAN ASSOCIATIONS(INCORPORATED)(THE)","8790","10-11 Charterhouse Square, London, England Charterhouse Square, London, England, EC1M 6EH","EC1M 6EH","00073749","94990","15.9","2.6","","","0","0","31.3","68.7","29.3","70.7","33.7","66.3","39.4","60.6","https://www.ymca.org.uk/wp-content/uploads/2022/12/GENDER-PAY-GAP-REPORTING.pdf","Jamie Hutchinson (Director of Resources)","250 to 499","NATIONAL COUNCIL OF YOUNG MEN'S CHRISTIAN ASSOCIATIONS(INCORPORATED)(THE)","False","2023/04/05 00:00:00","2022/12/14 09:26:00"
"national employment savings trust","14788","2A Southwark Bridge, SE19HA","SE19HA","","1,
84110","13.9","9.5","7.4","0","78","76","35","65","49","51","52","48","57","43","https://www.nestpensions.org.uk/schemeweb/nest/nestcorporation/library.html","","250 to 499","national employment savings trust","False","2023/03/31 00:00:00","2023/01/10 10:06:21"
"NATIONAL VETERINARY SERVICES LIMITED","8818","Unit 4 Jamage Industrial Estate, Talke Pits, Stoke-On-Trent, ST7 1XW","ST7 1XW","08489997","46460,
62012,
74909,
75000","4.5","3.4","45.93","0","80","88","34.6","65.4","73.7","26.3","80.8","19.2","59","41","https://www.nvsweb.co.uk/wp-content/uploads/2022/11/Gender-Pay-Gap-Report-2022.pdf","Martin Riley (Managing Director)","500 to 999","NATIONAL VETERINARY SERVICES LIMITED","False","2023/04/05 00:00:00","2022/11/16 10:06:21"
"NATURES WAY FOODS EUROPE LIMITED","8835","Park Farm, Chichester Road, Selsey, West Sussex, PO20 9HP","PO20 9HP","07083820","64202","5.4","6.1","37.1","6.8","59.3","48.1","48","52","67","33","71","29","73","27","https://www.natureswayfoods.com/gender-pay-gap/nwf-europe-gender-pay-gap-report-2022/","Colin Smith (Chief Executive Officer)","1000 to 4999","NATURES WAY FOODS EUROPE LIMITED","False","2023/04/05 00:00:00","2023/01/06 10:38:28"
"NATURES WAY FOODS LIMITED","511","Park Farm, Chichester Road, Selsey, West Sussex, PO20 9HP","PO20 9HP","02896421","10390","5.9","5.8","36.7","5.8","59.9","48.3","48","52","67","33","71","29","73","27","https://www.natureswayfoods.com/gender-pay-gap/nwf-gender-pay-gap-report-2022/","Colin Smith (Chief Executive Officer)","1000 to 4999","NATURES WAY FOODS LIMITED","False","2023/04/05 00:00:00","2023/01/06 10:34:31"
"NELLSAR LIMITED","8857","147a High Street, Waltham Cross, Hertfordshire, EN8 7AP","EN8 7AP","03801034","87900","2.6","1.9","77.4","33.3","8","2","22","78","25","75","21","79","29","71","https://www.nellsar.com/wp-content/uploads/pay-gap/nellsar-gender-pay-gap-statement.pdf","Martin Barrett (Managing Director)","500 to 999","NELLSAR LIMITED","False","2023/04/05 00:00:00","2022/08/15 09:15:36"
"NEOVIA LOGISTICS SERVICES (U.K.) LIMITED","8861","Peckleton Lane, Desford, Leicester, LE9 9BZ","LE9 9BZ","02136514","52103","4","5","24","23","64","44","52","48","64","36","72","28","72","28","","cathy shadforth (payroll manager)","1000 to 4999","NEOVIA LOGISTICS SERVICES (U.K.) LIMITED","False","2023/04/05 00:00:00","2022/12/13 16:10:54"
"New Forest District Council","8890","New Forest District Council, Appletree Court, Beaulieu Road, Lyndhurst, Hampshire, United Kingdom, SO43 7PA","SO43 7PA","","1,
84110","2.46","3.13","3.28","3.28","0.23","0.30","71.27","28.73","41.58","58.42","48.44","51.56","66.31","33.69","","","500 to 999","New Forest District Council","False","2023/03/31 00:00:00","2022/11/15 11:54:16"
"NEW MILLENNIA PAYROLL SERVICES LIMITED","16551","Third Floor Eastgate Castle Street, Castlefield, Manchester, England, M3 4LZ","M3 4LZ","04254121","78200","8.56","66.74","","","0.00","0.00","93.83","6.17","95.15","4.85","91.26","8.74","91.09","8.91","https://newmillennia.co.uk/","Nicholas Hynes (Director)","500 to 999","NEW MILLENNIA PAYROLL SERVICES LIMITED","False","2023/04/05 00:00:00","2022/12/23 09:28:09"
"Newcastle City Council","8907","Civic Centre, Newcastle Upon Tyne, Tyne And Wear, United Kingdom, NE1 8QH","NE1 8QH","","1,
84110","0.47","2.54","","","0","0","32.1","67.9","49.6","50.4","50.4","49.6","39.2","60.8","","","5000 to 19,999","Newcastle City Council","False","2023/03/31 00:00:00","2022/12/08 13:38:57"
"NEWHAM COMMUNITY LEARNING","21484","Sarah Bonnell School, Deanery Road, London, United Kingdom, E15 4LP","E15 4LP","09896221","85310","13","15.1","0.2","0","7.5","15","18.5","81.5","28.2","71.8","36.2","63.8","40","60","https://newhamcommunitylearning.org/wp-content/uploads/2022/12/00a-NCST-Gender-Pay-Gap-Reporting-as-at-31-March-2022-.pdf","","500 to 999","NEWHAM COMMUNITY LEARNING","False","2023/03/31 00:00:00","2022/12/19 11:25:46"
"Newport City Council","16644","Civic Centre, Newport, NP20 4UR","NP20 4UR","","1,
84110","0.6","-0.4","","","0","0","30","70","31","69","29","71","31","69","https://www.newport.gov.uk/en/Council-Democracy/Transparency/Transparency.aspx?adlt=strict","","1000 to 4999","Newport City Council","False","2023/03/31 00:00:00","2022/05/30 15:56:59"
"Newvic College","8942","Prince Regent Lane, London, London, United Kingdom, E13 8SG","E13 8SG","","1,
85310","6.48","11.39","","","0","0","37.10","62.90","35.48","64.52","38.71","61.29","50","50","","","250 to 499","Newvic College","False","2023/03/31 00:00:00","2023/01/20 16:45:38"
"NEXPERIA NEWPORT LIMITED","6777","Cardiff Road, Newport, NP10 8YJ","NP10 8YJ","04338966","26110","16","9","54","13","88","90","66","34","64","36","71","29","87","13","https://www.nexperia.com/about/corporate-social-responsibility/reports.html","Simon Argent (HR Director)","500 to 999","NEXPERIA NEWPORT LIMITED","False","2023/04/05 00:00:00","2022/12/19 14:50:22"
"NEXUS EDUCATION SCHOOLS TRUST","18045","Worsley Bridge Primary School, Brackley Road, Beckenham, United Kingdom, BR3 1RF","BR3 1RF","08753719","85200","23.2","52.1","","","0","0","5","95","2","98","6","94","10","90","","","500 to 999","NEXUS EDUCATION SCHOOLS TRUST","False","2023/03/31 00:00:00","2023/01/27 12:31:30"
"NHS Birmingham and Solihull Clinical Commissioning Group","18880","Friars Gate, Stratford Road, Shirley, Solihull, B90 4BN","B90 4BN","","1","38.8","20.2","","","0","0","15","85","18","82","25","75","44","56","","","250 to 499","NHS Birmingham and Solihull Clinical Commissioning Group","False","2023/03/31 00:00:00","2022/07/06 09:59:02"
"NHS Gloucestershire Clinical Commissioning Group","17035","Sanger House, 5220 Valiant Court, Gloucester Business Park, GL3 4FE","GL3 4FE","","1,
86900","17.95","14.99","","","0.00","0.00","18.45","81.55","22.33","77.67","21.90","78.10","33.64","66.36","","","250 to 499","NHS Gloucestershire Clinical Commissioning Group","False","2023/03/31 00:00:00","2022/12/08 09:19:57"
"NHS Kernow CCG","17017","Sedgemoor Centre, Priory Road, St Austell, PL25 5AS","PL25 5AS","","1,
86210","16.4","5","","","0","0","14.7","85.3","18.9","81.1","21.6","78.4","25.7","74.3","https://www.kernowccg.nhs.uk/get-info/equality-and-diversity/","","250 to 499","NHS Kernow CCG","False","2023/03/31 00:00:00","2022/06/29 10:14:07"
"NIFCO UK LIMITED","8993","NIFCO UK LTD, Nifco House Durham Lane, Eaglescliffe, Stockton-On-Tees, Cleveland, TS16 0PS","TS16 0PS","01392769","22290","20","10.5","","","0","0","55.4","44.6","95","5","76.24","23.76","94.06","5.94","","Joanne Brown (HR Manager)","250 to 499","NIFCO UK LIMITED","False","2023/04/05 00:00:00","2023/01/18 14:18:11"
"NIFTYLIFT LIMITED","8994","Niftylift Limited Chalkdell Drive, Shenley Wood, Milton Keynes, MK5 6GF","MK5 6GF","01264184","28990","-3.91","-8.89","86.56","85.9","97.97","94.44","94.17","5.83","95","5","90","10","90.83","9.17","","Kerry Lyall (HR/Payroll Manager)","250 to 499","NIFTYLIFT LIMITED","False","2023/04/05 00:00:00","2023/01/18 15:06:51"
"NOMAD FOODS EUROPE LIMITED","19945","1 New Square, Bedfont Lakes Business Park, Feltham, Middlesex, England, TW14 8HA","TW14 8HA","05879466","10890","26.2","27.7","40.9","23.3","92.8","92.9","35.1","64.9","44.7","55.3","57.4","42.6","69.5","30.5","https://www.nomadfoods.com/gender-pay-gap-report/","Charlotte Baldock (HR Operations Manager UK & Ireland)","250 to 499","NOMAD FOODS EUROPE LIMITED","False","2023/04/05 00:00:00","2022/09/30 08:41:27"
"Norfolk Community Health & Care NHS trust","14248","Woodlands House, Bowthorpe Road, Norwich, Norfolk, NR23TU","NR23TU","","1,
86210","8.2","-3.1","-32.4","-26.3","0.5","0.1","16.5","83.5","13","87","16.6","83.4","16.1","83.9","https://www.norfolkcommunityhealthandcare.nhs.uk/equality-diversity-and-inclusion","","1000 to 4999","Norfolk Community Health & Care NHS trust","False","2023/03/31 00:00:00","2022/08/10 14:23:50"
"North East Ambulance Service NHS Foundation Trust","640","Bernicia House, Newburn, Newcastle, NE15 8NY","NE15 8NY","","1,
86210","-0.24","-1.13","","","0","0","53.8","46.2","49.7","50.3","48.2","51.8","53.4","46.6","https://www.neas.nhs.uk/media/190604/equality_annual_report_21-22__v6_23.05.22__final.pdf - Pages 36-38","","1000 to 4999","North East Ambulance Service NHS Foundation Trust","False","2023/03/31 00:00:00","2023/01/04 13:15:57"
